step,train_loss,val_loss
0,11.076251983642578,10.861566543579102
200,5.328616619110107,5.76846981048584
400,5.1145710945129395,5.343053340911865
600,4.6699347496032715,5.113669395446777
800,4.718513488769531,5.017131805419922
1000,4.160431861877441,5.024886131286621
1200,4.137516498565674,4.783420562744141
1400,4.0165486335754395,4.883031368255615
1600,4.192490577697754,4.951143741607666
1800,3.8864336013793945,4.905152320861816
2000,3.9105749130249023,4.966540813446045
2200,3.7163054943084717,4.959654808044434
